company,brand,variety,target,CFBAI_approved,meet_IWG_criteria,npi2006,npi2009,npi2012,serving_size_g,calories_kcal,fiber_g,sugar_g,sodium_mg,sugar_perc_g,fiber_perc_g,sodium_mg_per100g
General Mills,Cheerios,Chocolate,Family,No,No,,,46,27,100,2,9,170,0.33,0.074,630
General Mills,Cheerios,Cinnamon Burst,Family,No,No,,,52,32,110,5,9,125,0.28,0.156,391
General Mills,Cheerios,Frosted,Family,No,No,,46,46,28,110,2,9,170,0.32,0.071,607
General Mills,Cheerios,Fruity,Family,No,No,,48,48,27,100,2,9,135,0.33,0.074,500
General Mills,Cheerios,Honey Nut,Child,Yes,No,44,44,46,28,110,2,9,160,0.32,0.071,571
General Mills,Cheerios,Multigrain,Family,No,Yes,50,50,56,29,110,3,6,120,0.21,0.103,414
General Mills,Cheerios,Multigrain Peanut Butter,Family,No,No,,,48,28,110,2,9,130,0.32,0.071,464
General Mills,Cheerios,Oat Cluster Crunch/Crunch,Family,No,No,,50,50,27,100,2,8,135,0.3,0.074,500
General Mills,Cheerios,Yogurt Burst Strawberry,Family,No,No,36,46,46,30,120,2,9,180,0.3,0.067,600
General Mills,Chex,Chocolate,Family,No,No,,46,46,27,100,2,9,170,0.33,0.074,630
General Mills,Chex,Cinnamon,Family,No,No,,38,46,30,120,1,8,180,0.27,0.033,600
General Mills,Chex,Corn,Family,No,No,44,44,52,31,120,2,3,240,0.1,0.065,774
General Mills,Chex,Honey Nut,Family,No,No,32,42,44,32,120,1,9,200,0.28,0.031,625
General Mills,Chex,Multi-Bran,Family,No,No,50,50,52,47,160,6,10,270,0.21,0.128,574
General Mills,Chex,Rice,Family,No,No,44,42,50,27,100,1,2,240,0.07,0.037,889
General Mills,Chex,Wheat,Family,No,No,50,52,56,47,160,6,5,270,0.11,0.128,574
General Mills,Cinnamon Toast Crunch,(Regular),Child,Yes,No,36,36,40,31,130,2,10,220,0.32,0.065,710
General Mills,Cinnamon Toast Crunch,Frosted Toast Crunch,Child,Yes,No,,,42,30,120,1,9,170,0.3,0.033,567
General Mills,Cocoa Puffs,(Regular),Child,Yes,No,36,38,44,27,100,2,10,150,0.37,0.074,556
General Mills,Cocoa Puffs,Brownie crunch,Child,No,No,,,46,27,110,2,9,130,0.33,0.074,481
General Mills,Cookie Crisp,(Regular),Child,No,No,36,40,46,26,100,1,9,120,0.35,0.038,462
General Mills,Cookie Crisp,Sprinkles,Child,No,No,,,48,27,100,1,9,120,0.33,0.037,444
General Mills,Count Chocula,,Family,No,No,34,38,42,27,100,1,10,160,0.37,0.037,593
